saleprice,has_pool,x0_20,x0_30,x0_40,x0_45,x0_50,x0_60,x0_70,x0_75,x0_80,x0_85,x0_90,x0_120,x0_150,x0_160,x0_180,x0_190,x1_A (agr),x1_C (all),x1_FV,x1_RH,x1_RL,x1_RM,x2_Bnk,x2_HLS,x2_Low,x2_Lvl,x3_Blmngtn,x3_Blueste,x3_BrDale,x3_BrkSide,x3_ClearCr,x3_CollgCr,x3_Crawfor,x3_Edwards,x3_Gilbert,x3_Greens,x3_GrnHill,x3_IDOTRR,x3_MeadowV,x3_Mitchel,x3_NAmes,x3_NPkVill,x3_NWAmes,x3_NoRidge,x3_NridgHt,x3_OldTown,x3_SWISU,x3_Sawyer,x3_SawyerW,x3_Somerst,x3_StoneBr,x3_Timber,x3_Veenker,x4_1Fam,x4_2fmCon,x4_Duplex,x4_Twnhs,x4_TwnhsE,x5_1.5Fin,x5_1.5Unf,x5_1Story,x5_2.5Fin,x5_2.5Unf,x5_2Story,x5_SFoyer,x5_SLvl,x6_Flat,x6_Gable,x6_Gambrel,x6_Hip,x6_Mansard,x6_Shed,x7_AsbShng,x7_BrkComm,x7_BrkFace,x7_CBlock,x7_CemntBd,x7_HdBoard,x7_ImStucc,x7_MetalSd,x7_Plywood,x7_Stone,x7_Stucco,x7_VinylSd,x7_Wd Sdng,x7_WdShing,x8_AsbShng,x8_AsphShn,x8_Brk Cmn,x8_BrkFace,x8_CBlock,x8_CmentBd,x8_HdBoard,x8_ImStucc,x8_MetalSd,x8_Plywood,x8_Stone,x8_Stucco,x8_VinylSd,x8_Wd Sdng,x8_Wd Shng,x9_BrkCmn,x9_BrkFace,x9_None,x9_Stone,x10_BrkTil,x10_CBlock,x10_PConc,x10_Slab,x10_Stone,x10_Wood,x11_COD,x11_CWD,x11_Con,x11_ConLD,x11_ConLI,x11_ConLw,x11_New,x11_Oth,x11_WD ,x12_2Types,x12_Attchd,x12_Basment,x12_BuiltIn,x12_CarPort,x12_Detchd,x12_NA,lot_frontage,lot_area,mas_vnr_area,total_bsmt_sf,gr_liv_area,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,property_age,age_remod_add,garage_age,lot_shape,overall_qual,overall_cond,exter_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,heating_qc,kitchen_qual,fireplace_qu,garage_finish,paved_drive,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,totrms_abvgrd,garage_qual_cond,bsmt_qual_cond
130500,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.7309191616452195,0.6594560774958258,1.1138700406168485,-0.7631521887725561,-0.030137681861836536,0.011145730348821235,-0.7488410355223082,-0.05168816668752263,-0.38339465983560633,-0.09797806810509338,-0.29007326082803947,-0.08062628115808887,-0.8870580602226041,0.2339706038849996,-1.052295361375907,-0.07079374861650992,2.172149939264632,-0.22708847695685339,-0.5849771251326495,1.1404419702300335,-0.2858918645680727,0.8789760617016331,0.737937998112049,-0.9806851011500244,0.29136667084507045,0.3196190216128242,-0.8206266414604126,-0.250301023588875,0.7668924973514658,1.2451476464384377,0.20287396858147255,-0.26569736935746824,0.2632394716232333,-0.4944166967103927
220000,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4306390853734286,0.28760428622171613,0.2077713711709711,-0.3206364939069236,1.3079464264793437,0.4002762378735634,-0.7488410355223082,0.4005027734984951,-0.38339465983560633,-0.09797806810509338,-0.29007326082803947,-0.7772810963492329,-0.5537900069275297,-0.6289262011093559,-1.052295361375907,0.6319951012855729,-0.5144709521389422,-0.22708847695685339,-0.5849771251326495,1.1404419702300335,-0.2858918645680727,0.8789760617016331,0.737937998112049,0.678208732602547,0.29136667084507045,0.3196190216128242,1.107904834453728,-0.250301023588875,0.7668924973514658,1.2451476464384377,1.4201177800703089,1.0451830252435335,0.2632394716232333,0.4647477911044
109000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3253377031566824,-0.36795664950597345,-0.554044070656136,0.01831169790505018,-0.9083204092646018,-1.0496981532602974,-0.7488410355223082,0.06889608402874878,-0.38339465983560633,-0.09797806810509338,-0.29007326082803947,0.682376611670307,-0.9822775040211968,1.1360899909245532,0.711941897512256,-0.7735825985185927,1.2766096421301072,2.429846703438327,-0.5849771251326495,1.1404419702300335,-0.2858918645680727,-1.170508335547158,0.737937998112049,-0.9806851011500244,-0.813398622775822,0.3196190216128242,1.107904834453728,-0.250301023588875,-1.0431506015847025,-0.7485491716125504,0.20287396858147255,-0.9211375666579691,0.2632394716232333,-0.4944166967103927
174000,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.47653306086270464,-0.022731282792232174,-0.554044070656136,-1.5658003374384108,-0.10297274219144976,-0.33629222279827,0.05716332513922479,-0.7149015456270154,-0.38339465983560633,-0.09797806810509338,-0.29007326082803947,-1.075847445716866,-0.9822775040211968,-0.9819294395161378,0.711941897512256,-0.7735825985185927,-0.5144709521389422,-0.22708847695685339,-0.5849771251326495,-1.206346908208151,-0.2858918645680727,-0.14576613692276238,-0.771103750836186,-0.9806851011500244,1.3961319644659629,0.3196190216128242,-0.8206266414604126,-0.250301023588875,0.7668924973514658,1.2451476464384377,0.20287396858147255,0.38974282794303267,0.2632394716232333,0.4647477911044
138500,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7486847047335446,0.7913027866982014,-0.554044070656136,-0.8784887262641305,-0.10089174046774653,0.05283828472647219,-0.7488410355223082,0.17440730340548624,-0.38339465983560633,-0.09797806810509338,-0.29007326082803947,2.4406006690574804,-0.31574139743104784,0.9791996627437612,-1.052295361375907,-0.07079374861650992,2.172149939264632,-0.22708847695685339,-0.5849771251326495,-1.206346908208151,-0.2858918645680727,-1.170508335547158,-0.771103750836186,-0.9806851011500244,-0.813398622775822,-3.354317521557743,-0.8206266414604126,-0.250301023588875,0.7668924973514658,-0.7485491716125504,0.20287396858147255,-0.26569736935746824,0.2632394716232333,-0.8141381926486569
190000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.411833639499789,1.2057568572689004,-0.554044070656136,1.1010628661932997,0.8209920231327866,0.48829385267082653,-0.7488410355223082,-0.7149015456270154,-0.38339465983560633,-0.09797806810509338,-0.29007326082803947,0.2511141070281702,-0.7442288945247151,0.6261964243369794,-1.052295361375907,-0.07079374861650992,0.3810693449955825,-0.22708847695685339,-0.5849771251326495,0.6710841945423965,1.85731579750288,0.8789760617016331,0.737937998112049,1.2311733438534043,1.3961319644659629,0.3196190216128242,-0.8206266414604126,-0.250301023588875,0.7668924973514658,1.2451476464384377,-1.0143698429073638,-0.26569736935746824,0.2632394716232333,-0.4944166967103927
140000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.6725516577030641,-1.147835443353452,-0.08079508406656948,-1.1821298147623571,-0.8771053834090532,0.24277103244688206,-0.7488410355223082,-0.05168816668752263,-0.38339465983560633,-0.09797806810509338,-0.29007326082803947,-1.1753695621727438,-1.125106669719086,-1.0603746036065338,0.711941897512256,-0.07079374861650992,-0.5144709521389422,-0.22708847695685339,2.184365449917293,1.1404419702300335,-0.2858918645680727,-0.14576613692276238,-0.771103750836186,-0.9806851011500244,1.3961319644659629,0.3196190216128242,1.107904834453728,-0.250301023588875,0.7668924973514658,-0.7485491716125504,-1.0143698429073638,-0.9211375666579691,0.2632394716232333,0.4647477911044
142000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.7309191616452195,0.41026946971361994,0.4847951681990101,0.326660400178443,-0.6357091834594779,0.27056606869864935,-0.7488410355223082,-0.7149015456270154,-0.38339465983560633,-0.09797806810509338,-0.29007326082803947,0.48333237875855156,1.3029891471450286,0.9007544986533652,-1.052295361375907,-0.7735825985185927,-0.5144709521389422,-0.22708847695685339,-0.5849771251326495,-0.2676313568328773,-0.2858918645680727,-2.1952505341715534,-0.771103750836186,-0.9806851011500244,0.29136667084507045,0.3196190216128242,1.107904834453728,-0.250301023588875,-1.0431506015847025,-0.7485491716125504,0.20287396858147255,-0.26569736935746824,0.2632394716232333,-0.4944166967103927
112500,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.7309191616452195,1.0755628226944096,-0.554044070656136,-0.29474461814350894,-1.185093638517132,-0.24364210195904568,-0.7488410355223082,4.168760608381977,-0.38339465983560633,-0.09797806810509338,-0.29007326082803947,0.6160285340330552,1.493428034742214,1.0576448268341572,0.711941897512256,-0.7735825985185927,-0.5144709521389422,-0.22708847695685339,-0.5849771251326495,-0.2676313568328773,-0.2858918645680727,-1.170508335547158,-0.771103750836186,-0.9806851011500244,-0.813398622775822,0.3196190216128242,-0.8206266414604126,-0.250301023588875,-1.0431506015847025,-0.7485491716125504,-1.0143698429073638,-0.26569736935746824,0.2632394716232333,-0.4944166967103927
135000,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3858158462390913,0.3085381648415919,0.5540511174560198,-0.021703019183863397,1.2205443540838077,0.1454884055656965,1.9512735726938273,-0.7149015456270154,-0.38339465983560633,-0.09797806810509338,-0.29007326082803947,0.05206987411641477,0.6840627624541757,0.39086093206579153,-1.052295361375907,-0.7735825985185927,-0.5144709521389422,-0.22708847695685339,1.2612512582339785,-0.2676313568328773,-0.2858918645680727,-1.170508335547158,-2.280145499784421,0.678208732602547,-0.813398622775822,0.3196190216128242,-0.8206266414604126,3.6919400979359067,-1.0431506015847025,3.238844464489426,2.637361591559145,1.7006232225440343,0.2632394716232333,0.4647477911044
