date,latitude,longitude,wnv_present,species_ohe,year,month,tmax,tmin,tavg,depart,dew_point,wet_bulb,heat,cool,precip_total,stn_pressure,sea_level,result_speed,result_dir,avg_speed,daylight,r_humid,bc,br,dz,fg,fg+,fu,gr,hz,mi,ra,sn,sq,ts,vc,tavg_10,tavg_14,tavg_28,precip_total_10,precip_total_14,precip_total_28,r_humid_10,r_humid_14,r_humid_28,week,day
2007-05-29,41.731922,-87.677512,0,3.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.95469,-87.800991,0,2.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.974089,-87.824812,0,2.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.867108,-87.654224,0,2.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.919343,-87.694259,0,2.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.921965,-87.632085,0,2.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.688324,-87.676709,0,2.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.891126,-87.61156,0,2.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.999129,-87.795585,0,2.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,42.01743,-87.687769,0,2.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.95469,-87.800991,0,1.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.994991,-87.769279,0,1.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.974089,-87.824812,0,1.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.9216,-87.666455,0,1.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.891118,-87.654491,0,1.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.867108,-87.654224,0,1.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.896282,-87.655232,0,1.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.921965,-87.632085,0,1.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.688324,-87.676709,0,1.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.862292,-87.64886,0,1.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.720848,-87.666014,0,1.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.731922,-87.677512,0,1.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.891126,-87.61156,0,1.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.907645,-87.760886,0,1.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-05-29,41.732984,-87.649642,0,1.0,2007,5,88.0,62.5,75.5,8.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,896.0,179.9942680408543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,67.25,64.67857142857143,63.714285714285715,0.08575,0.06875,0.055,196.31940464704797,208.8354221211368,207.23981806943235,22,1
2007-06-05,41.95469,-87.800991,0,3.0,2007,6,63.5,49.0,56.5,-9.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,906.0,139.41649980416287,0,1,0,0,0,0,0,0,0,1,0,0,0,0,69.95,69.53571428571429,66.16071428571429,0.14150000000000001,0.15142857142857144,0.10285714285714286,163.15514823551695,173.35871743761555,192.67906877876456,23,1
2007-06-05,41.9216,-87.666455,0,3.0,2007,6,63.5,49.0,56.5,-9.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,906.0,139.41649980416287,0,1,0,0,0,0,0,0,0,1,0,0,0,0,69.95,69.53571428571429,66.16071428571429,0.14150000000000001,0.15142857142857144,0.10285714285714286,163.15514823551695,173.35871743761555,192.67906877876456,23,1
2007-06-05,41.867108,-87.654224,0,3.0,2007,6,63.5,49.0,56.5,-9.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,906.0,139.41649980416287,0,1,0,0,0,0,0,0,0,1,0,0,0,0,69.95,69.53571428571429,66.16071428571429,0.14150000000000001,0.15142857142857144,0.10285714285714286,163.15514823551695,173.35871743761555,192.67906877876456,23,1
2007-06-05,41.731922,-87.677512,0,3.0,2007,6,63.5,49.0,56.5,-9.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,906.0,139.41649980416287,0,1,0,0,0,0,0,0,0,1,0,0,0,0,69.95,69.53571428571429,66.16071428571429,0.14150000000000001,0.15142857142857144,0.10285714285714286,163.15514823551695,173.35871743761555,192.67906877876456,23,1
2007-06-05,41.662014,-87.724608,0,3.0,2007,6,63.5,49.0,56.5,-9.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,906.0,139.41649980416287,0,1,0,0,0,0,0,0,0,1,0,0,0,0,69.95,69.53571428571429,66.16071428571429,0.14150000000000001,0.15142857142857144,0.10285714285714286,163.15514823551695,173.35871743761555,192.67906877876456,23,1
